pid,front_color,back_color
199304470,초록,
197400571,노랑,
198803039,갈색,
200703756,분홍,
199703153,하양,
200004062,하양,
200402488,하양,
199102043,초록,하양
199702297,하양,
200502773,하양,
199502505,초록,
200300408,노랑,노랑
199700745,연두,노랑
198701796,파랑,파랑
200202791,하양,
200700055,하양,
198100119,하양,
198700405,연두,
198200170,하양,
200300401,하양,
200200444,주황,
200400462,갈색,
200400486,주황,
200400475,파랑,회색
198100123,초록,연두
200500547,하양,
199400494,하양,
200200445,연두,
199700749,연두,
200500548,주황,
200400477,파랑,
199300693,주황,노랑
200500551,하양,
200500554,연두,
200400478,하양,
199300694,하양,
200500557,주황,
200400480,하양,
200400481,노랑,노랑
199700738,하양,
200700726,검정,
199603003,하양,
200100579,분홍,
200503255,갈색,
200700470,노랑,
200607866,노랑,
199600572,주황,갈색
197900141,하양,
199600573,빨강,
200200443,자주,
200000803,파랑,파랑
199300692,갈색,
200000796,하양,
200000797,노랑,
200000799,갈색,갈색
198000160,하양,
198200166,자주,분홍
198900462,자주,분홍
198900463,하양,
199100569,빨강,노랑
200400465,갈색,
199400486,하양,
199500435,초록,노랑
199900509,주황,
200600115,하양,
199500439,하양,
200400469,노랑,
200500541,주황,
200500542,노랑,
199500630,하양,
200803641,하양,
198401066,하양,
200700844,하양,
200606561,초록,초록
198701585,하양,
200004064,갈색,
198601341,갈색,
200807284,빨강,
200502784,갈색,노랑
200502785,초록,노랑
200600576,노랑,
200701020,분홍,
200701021,하양,
200701045,하양,
200805113,하양,
200400320,초록,초록
200400322,하양,
200400323,노랑,
200500419,분홍,
200500421,분홍,
199200183,하양,
199300168,하양,
200604180,연두,
196600007,노랑,
198300146,주황,노랑
198700309,하양,
199000352,하양,하양
200300266,노랑,
200000175,노랑,
199300175,분홍,
198300049,주황,
197600035,하양,
199600144,빨강,하양
199400095,하양,하양
198500049,빨강,노랑
199300958,노랑,
199300959,노랑,
199300960,노랑,
200300661,초록,
200500881,갈색,
198900739,주황,주황
197600141,하양,
199300454,갈색,
198800331,검정,노랑
199900349,하양,
200100383,주황,
200803961,노랑,
197500185,갈색,노랑
198600436,파랑,노랑
198900665,하양,
198800557,하양,하양
200000554,하양,
197000037,빨강,
199700555,노랑,
200001102,하양,
199000708,갈색,갈색
198700514,연두,
199500320,하양,
199500322,하양,
197700085,초록,초록
199700556,하양,
200300274,초록,
200300277,하양,
200803967,노랑,
198700511,갈색,노랑
197500186,파랑,
198600437,파랑,
198800558,하양,
198400322,분홍,
