pid,shape
199304470,원형
197400571,원형
198803039,장방형
200703756,원형
199703153,장방형
200004062,원형
200402488,원형
199102043,장방형
199702297,원형
200502773,타원형
199502505,장방형
200300408,장방형
199700745,장방형
198701796,장방형
200202791,원형
200700055,원형
198100119,원형
198700405,장방형
198200170,장방형
200300401,장방형
200200444,타원형
200400462,장방형
200400486,타원형
200400475,장방형
198100123,장방형
200500547,타원형
199400494,원형
200200445,원형
199700749,원형
200500548,타원형
200400477,장방형
199300693,장방형
200500551,원형
200500554,원형
200400478,원형
199300694,원형
200500557,타원형
200400480,원형
200400481,장방형
199700738,타원형
200700726,타원형
199603003,장방형
200100579,장방형
200503255,사각형
200700470,타원형
200607866,원형
199600572,장방형
197900141,원형
199600573,타원형
200200443,원형
200000803,장방형
199300692,원형
200000796,원형
200000797,원형
200000799,장방형
198000160,원형
198200166,장방형
198900462,장방형
198900463,원형
199100569,장방형
200400465,장방형
199400486,원형
199500435,장방형
199900509,타원형
200600115,타원형
199500439,원형
200400469,원형
200500541,원형
200500542,장방형
199500630,장방형
200803641,타원형
198401066,원형
200700844,장방형
200606561,장방형
198701585,원형
200004064,원형
198601341,기타
200807284,타원형
200502784,장방형
200502785,장방형
200600576,타원형
200701020,팔각형
200701021,원형
200701045,원형
200805113,기타
200400320,장방형
200400322,장방형
200400323,원형
200500419,타원형
200500421,원형
199200183,원형
199300168,원형
200604180,원형
196600007,원형
198300146,장방형
198700309,원형
199000352,장방형
200300266,원형
200000175,장방형
199300175,원형
198300049,원형
197600035,원형
199600144,장방형
199400095,장방형
198500049,장방형
199300958,원형
199300959,원형
199300960,원형
200300661,기타
200500881,장방형
198900739,장방형
197600141,원형
199300454,장방형
198800331,장방형
199900349,원형
200100383,원형
200803961,원형
197500185,장방형
198600436,장방형
198900665,원형
198800557,장방형
200000554,원형
197000037,타원형
199700555,원형
200001102,타원형
199000708,타원형
198700514,원형
199500320,원형
199500322,원형
197700085,장방형
199700556,원형
200300274,원형
200300277,타원형
200803967,장방형
198700511,장방형
197500186,원형
198600437,원형
198800558,원형
198400322,원형
200100391,장방형
199400369,원형
200200338,장방형
199900728,장방형
199900729,장방형
199000707,원형
198700513,타원형
198900669,장방형
200001101,타원형
197300104,원형
200500735,장방형
200100837,원형
200200734,원형
200200735,원형
198900741,원형
199600367,장방형
198200131,장방형
198600236,타원형
200200643,원형
198600509,원형
199100838,장방형
197500188,원형
200500767,기타
200500767,기타
199400711,원형
200500892,기타
200300566,원형
200703757,원형
200300567,원형
200200644,타원형
199701063,원형
199701064,원형
199701065,원형
200400934,원형
200500426,장방형
200600080,타원형
200500714,원형
200500715,원형
200500717,원형
200500719,타원형
200500772,장방형
200300569,장방형
197900013,원형
199900835,원형
200001190,원형
200300655,타원형
200600081,원형
200600082,원형
199100420,장방형
197700088,원형
200500713,타원형
200600170,타원형
200600172,원형
200300572,원형
200600173,장방형
200600174,장방형
200400772,장방형
200300660,타원형
200400920,원형
200604199,팔각형
198900344,원형
199000363,장방형
197700137,원형
196200046,원형
198700581,장방형
200300286,타원형
199700553,오각형
200000559,장방형
200000560,타원형
200500776,원형
200400910,타원형
200400913,원형
200400914,장방형
200500872,원형
200803828,장방형
200400930,장방형
200400733,장방형
200308476,원형
200512148,기타
199604623,원형
200307659,타원형
200409940,장방형
197800021,장방형
200805428,타원형
200803800,타원형
197800009,타원형
200008989,원형
200008990,삼각형
200400336,장방형
200300283,타원형
200500435,장방형
200300284,기타
200500437,장방형
196900043,원형
200100392,원형
200600084,원형
200300551,타원형
199900723,타원형
200400738,장방형
198300374,장방형
200100779,원형
200100780,장방형
200400752,원형
200400753,장방형
200400757,장방형
198500436,장방형
197700126,타원형
198700516,장방형
200200631,장방형
200400763,타원형
200200642,원형
200400766,장방형
200500721,장방형
199100413,장방형
199400362,장방형
200603930,원형
199700548,장방형
200000548,원형
200200327,장방형
200300268,타원형
200300269,장방형
196400005,원형
200401321,장방형
200404889,장방형
199906848,장방형
200108423,원형
200108424,원형
200108425,원형
200008591,원형
200108428,장방형
200108429,원형
200108430,타원형
200702448,원형
200702509,장방형
200808211,장방형
199200144,원형
198800060,장방형
199000049,원형
199400050,원형
200300409,기타
199300120,원형
199300124,원형
199300848,원형
200710140,원형
200000067,원형
199500050,원형
199600087,장방형
199600089,원형
199600090,삼각형
199200163,원형
199400069,장방형
198500032,장방형
199200165,장방형
199400070,원형
200808210,장방형
200308338,타원형
200308340,타원형
200100769,장방형
200300281,장방형
200300282,장방형
200400325,장방형
200400326,장방형
199700106,원형
200308341,원형
200410519,장방형
200308343,원형
199700120,장방형
200400329,원형
198700059,장방형
199800046,원형
198700060,원형
200700890,원형
200702615,원형
200500094,장방형
198100149,장방형
200807361,원형
198900638,원형
199700942,장방형
200308337,원형
200001471,원형
200200628,장방형
198100158,원형
200100776,장방형
199100750,원형
199000710,원형
199300849,장방형
200308344,장방형
200000569,장방형
199800473,원형
200300057,원형
200400063,기타
200400065,원형
199600091,장방형
200500431,장방형
200500433,타원형
200700849,장방형
199900053,장방형
200702328,원형
200200099,장방형
200200100,장방형
196000003,원형
200512147,기타
197000211,원형
198902790,타원형
200109941,타원형
200501531,타원형
200811013,타원형
200808219,타원형
199400704,원형
200702561,장방형
200805924,장방형
200808241,타원형
199502433,장방형
200702692,원형
200702739,원형
200808226,장방형
198501803,원형
198702203,타원형
200100424,원형
200200375,원형
200300308,타원형
200400387,장방형
200400388,타원형
200308481,장방형
198500245,원형
199100471,원형
200600094,원형
197900544,원형
200702802,원형
200702584,장방형
200702385,원형
200702572,원형
200703825,원형
200702525,장방형
200612728,원형
200108672,원형
200209392,원형
200209393,원형
199303998,원형
199303998,원형
200612599,원형
200009386,원형
200109958,원형
200512162,기타
200605325,마름모형
200209391,원형
199604975,장방형
200605327,기타
200605329,기타
200605330,기타
200605331,기타
200606263,기타
200009388,원형
200610878,장방형
200210719,장방형
200308509,원형
200308510,원형
200604158,원형
200512177,기타
200604159,원형
200604160,원형
197700537,원형
199600107,장방형
200108678,기타
200209622,원형
198100697,원형
198301310,원형
198501802,원형
200209427,원형
200410868,타원형
200702573,장방형
199400394,원형
200308536,장방형
200512181,장방형
200512182,장방형
200200377,원형
200108414,원형
200108415,원형
200612611,장방형
199704229,원형
199704231,원형
200811008,장방형
200300162,타원형
200300313,기타
200604164,기타
200612701,타원형
200612754,장방형
200612598,장방형
198500241,원형
198702205,원형
199403293,원형
200308480,장방형
199800514,원형
198000626,장방형
198000627,장방형
200606617,원형
200702384,장방형
200702574,원형
200703852,타원형
199907332,원형
198902794,타원형
198902796,원형
198902797,원형
199203462,원형
199203463,원형
200702534,원형
200410825,마름모형
200703826,원형
200703826,원형
200702358,원형
200000601,장방형
198800355,원형
199700581,원형
200512142,장방형
200610632,장방형
200610633,장방형
200610634,장방형
200400075,장방형
200400078,장방형
200409973,장방형
200409973,장방형
200300069,장방형
200300070,장방형
200612612,장방형
200200132,장방형
200200133,타원형
200808248,타원형
200200134,장방형
200209630,장방형
200510991,원형
200610630,장방형
200610631,장방형
199200701,원형
200400079,장방형
198800699,장방형
200009387,원형
199900176,장방형
200807312,타원형
198400394,원형
200400392,원형
200500482,원형
200604151,마름모형
200807310,원형
200100429,원형
200500476,원형
199203481,원형
199203482,타원형
200100431,원형
199000876,장방형
197900066,원형
200605323,마름모형
200511063,삼각형
200511064,장방형
200511066,장방형
200606180,장방형
200606181,장방형
200610660,팔각형
199604708,원형
199203279,장방형
200307647,육각형
200307649,장방형
200307650,장방형
200008796,타원형
200008798,장방형
197700120,장방형
200708537,장방형
200807342,타원형
200008771,장방형
200008772,장방형
198300343,장방형
198300344,장방형
200500102,장방형
199604709,원형
200604176,장방형
197000049,원형
200409931,원형
199906916,타원형
200108800,삼각형
200409932,원형
200409933,원형
199704368,원형
199704369,원형
200511035,타원형
200511036,장방형
200511037,원형
200410071,원형
200210689,원형
200108739,기타
200603863,원형
200603865,원형
200410066,장방형
200307794,장방형
200511023,장방형
200008764,기타
200511029,장방형
200600522,원형
200307815,원형
200307816,원형
199403112,타원형
199504165,장방형
199604694,장방형
200400084,타원형
197700525,원형
200410070,원형
199203393,장방형
200410072,타원형
200410073,타원형
200307809,원형
200511049,원형
200610658,원형
200410067,타원형
201103297,타원형
200610651,원형
200607634,장방형
200610652,장방형
200108816,원형
199602451,장방형
199704612,원형
199704618,원형
200108763,원형
200410087,타원형
200410088,타원형
200410089,타원형
200410090,원형
200511055,장방형
200108764,타원형
200008776,타원형
200008778,타원형
200511056,장방형
200511057,장방형
200511058,장방형
200400083,장방형
200000173,장방형
198501196,원형
200307807,원형
200603856,사각형
200603859,원형
200603860,원형
200610653,타원형
199304176,원형
200603861,원형
200108765,원형
200209695,타원형
200410081,마름모형
200410082,마름모형
200410085,원형
200410086,원형
200307799,원형
198800487,타원형
200511102,원형
200807365,타원형
200300470,원형
200209893,타원형
200209894,타원형
200209895,타원형
200511125,원형
199200653,장방형
199700840,장방형
198900528,장방형
199900600,타원형
200100397,장방형
200500630,팔각형
200600138,원형
199604751,원형
197500654,타원형
200702200,원형
200808253,원형
200702259,원형
199500324,장방형
197000050,원형
200511106,장방형
200511107,장방형
200511108,장방형
199605130,원형
199907323,장방형
200603815,장방형
200610661,장방형
200511067,타원형
200511068,장방형
200000537,원형
200603872,원형
200605253,타원형
200200135,장방형
200009616,장방형
199900067,장방형
200512161,기타
197800024,원형
200606428,원형
200008568,장방형
200606183,타원형
199906840,장방형
200108384,장방형
200409929,원형
200404042,장방형
199701035,장방형
200705782,타원형
200400347,장방형
200500451,원형
200600087,타원형
199400373,원형
199304304,장방형
199806592,원형
198800245,원형
199504276,원형
200307980,원형
200300296,기타
200400339,원형
200400340,기타
200702260,원형
199304303,장방형
198500649,원형
200612350,원형
200109139,타원형
200410337,장방형
200511262,장방형
200511263,장방형
200511266,장방형
199504273,원형
199806931,원형
199604928,타원형
197600036,장방형
200009061,타원형
200009062,원형
200009063,사각형
200702749,원형
199201002,원형
199601062,장방형
199701265,원형
199101033,원형
197900226,장방형
200702503,장방형
200100664,원형
197000053,원형
199101028,원형
200808273,타원형
197900575,원형
200702709,장방형
200702734,원형
197800143,원형
200001407,장방형
200808247,타원형
198100015,원형
200100660,장방형
198000170,원형
200702769,타원형
198200184,장방형
200401221,원형
200401222,장방형
199101039,원형
198900887,원형
199101034,원형
199101035,원형
199801158,장방형
199901117,장방형
200511277,장방형
200109233,원형
200606210,원형
200802618,타원형
200300867,장방형
200300878,원형
200300879,장방형
200308647,원형
199901118,장방형
200300886,타원형
199101049,원형
199801165,원형
200501155,원형
199701271,원형
200101018,장방형
200101022,타원형
200001426,장방형
200001427,타원형
200702521,원형
199504249,타원형
199504250,원형
200001430,원형
199201006,장방형
200501158,장방형
199101060,원형
199701269,원형
199601064,원형
199801155,원형
200101023,원형
200200921,장방형
199901116,장방형
200401219,타원형
199704519,원형
200702523,원형
200700012,장방형
199601059,장방형
198900886,원형
199601061,장방형
200811020,타원형
200702543,원형
200307996,원형
200410344,원형
200401199,장방형
200401202,타원형
200210304,장방형
199600386,장방형
200807363,원형
200807364,타원형
200702513,장방형
200501141,장방형
200501145,원형
200607835,장방형
200808309,원형
200803835,원형
200101016,원형
199200869,장방형
199200870,장방형
199907155,원형
199907156,원형
200401235,원형
199806740,타원형
198000234,원형
200300896,장방형
200300898,타원형
200009264,기타
200200076,타원형
199907231,원형
200702367,원형
200703261,원형
200210519,타원형
200308356,타원형
200802220,원형
200802225,장방형
200510974,원형
200702314,장방형
200511293,타원형
200607838,타원형
200501099,원형
200705452,타원형
200702296,장방형
200511803,타원형
199806820,원형
200702616,장방형
200808240,장방형
199907243,타원형
199907244,타원형
200804995,장방형
200210513,삼각형
199907249,타원형
200308353,장방형
200308354,장방형
198800164,원형
200700636,원형
200009077,원형
