pid,front_text,back_text
199304470,,Z40
197400571,ASCOUGH   YJP,
198803039,ZSM,
200703756,HM8,
199703153,CZT,분할선
200004062,RNT,
200402488,마크226,분할선
199102043,FNA FNA,
199702297,마크,LT
200502773,MSR,
199502505,Doneo,
200300408,D.W AXID,
199700745,DW ==,
198701796,GCC 마이드린,
200202791,DNT,
200700055,DRPZ KLN,분할선
198100119,UDCA,D분할선W
198700405,BEARSE,
198200170,D분할선W,1000
200300401,10분할선00,D.분할선W
200200444,DW,분할선
200400462,LVGD,
200400486,D.W4,분할선
200400475,Lorabid D.W,
198100123,DWB CFR500,
200500547,마크,마크
199400494,DW,50
200200445,DW,
199700749,Moxicle,
200500548,게므론G,
200400477,D.W,CCMR
199300693,DW Fenopron      300,
200500551,CQ,
200500554,CC,
200400478,D.W,20
199300694,Albis,
200500557,게므론큐,
200400480,마크50,
200400481,DWB 300,
199700738,D.W.M,
200700726,FER-C,
199603003,TYLENOLER,
200100579,DW,분할선
200503255,,
200700470,KS,LZP
200607866,TPU,
199600572,아미콜린,
197900141,DW,분할선
199600573,SRC,
200200443,D.W,분할선
200000803,D.W ZGDF,
199300692,D.W,
200000796,ARICEPT,5
200000797,ARICEPT,10
200000799,D.W HMF,
198000160,I분할선I,
198200166,Inderal Inderal  LA　　 　LA,
198900462,Inderal Inderal LA-80   LA-80,
198900463,D분할선W,200
199100569,D.W TST100,
200400465,,
199400486,Airtal,
199500435,DW ELC,
199900509,GLK,
200600115,C15,SANKYO
199500439,DW,CFX분할선250
200400469,D.W,TOP
200500541,SANKYO,C22
200500542,D.W,R분할선P
199500630,IH분할선AL,
200803641,K분할선W,LZ
198401066,TJPCT,
200700844,CP7,분할선
200606561,WRP 덴트리올,
198701585,TJ분할선5,
200004064,HJT,
198601341,,
200807284,VPL,DPC
200502784,Liveren,
200502785,GCC 그린노즈,
200600576,VCF,
200701020,JY,
200701021,마크 분할선200,
200701045,GJ,PO
200805113,MK,LT
200400320,IDP RXM,
200400322,I분할선D,분할선
200400323,ID,100
200500419,IDP,
200500421,ID,100
199200183,CFN,
199300168,BNT,
200604180,MN,
196600007,마크분할선K1,
198300146,ID ATM,
198700309,,
199000352,UG 200,
200300266,ID4,
200000175,B분할선B,
199300175,M분할선10,
198300049,마크ADN,
197600035,마크GS,
199600144,MET,
199400095,HER 180mg,
198500049,VM50 VM50,
199300958,CN2,
199300959,CN4,
199300960,CN8,
200300661,GMP분할선GMP,분할선
200500881,YJ ELF,
198900739,FNZ FNZ,
197600141,ID,SNT분할선
199300454,LOTEN,
198800331,IDP CE500,
199900349,IDP,분할선
200100383,ID,
200803961,마크341,0.2분할선
197500185,D-W D-WPMX PMX,
198600436,D-W D-WPMX PMX,
198900665,D-WOFX,
198800557,D-W D-WLAC LAC,
200000554,ID,25
197000037,Aro-G,Aro-G
199700555,ID,분할선
200001102,D-W,S분할선G
199000708,D-W CEM,
198700514,D-W,HC
199500320,ID분할선12.5,
199500322,ID분할선25,십자분할선
197700085,IDP WY500,
199700556,ID,RXM150
200300274,ID,
200300277,ID,375
200803967,YH,M500
198700511,헬민200,
197500186,D-W,E
198600437,D-W,D분할선T
198800558,D-W,A분할선B
198400322,D-W,M
200100391,IDP·N,
199400369,ILDONG LE,
200200338,EXE,
199900728,D-W CKT,
199900729,D-W ZBC,
199000707,D-W,M
198700513,마크,
198900669,D-W D-WCPR CPR,
200001101,D-W,
197300104,D-W,U분할선P
200500735,D-W B10,
200100837,COA,분할선
200200734,AS,
200200735,SPRYJP,
198900741,APL,
199600367,IDP,P
198200131,ID FLT,
198600236,IDP H,분할선
200200643,D-W,C분할선I
198600509,ATN50,
199100838,YJP CCL,
197500188,D-W,ETR
200500767,D-W,
200500767,D-W,
199400711,OXT,분할선
200500892,NRK,Y분할선J
200300566,D-WRBP,
200703757,HM16,
200300567,D-W,T분할선2
200200644,D-W,S분할선40
199701063,25,
199701064,50,
199701065,100,
200400934,VFX 75,
200500426,IDP M100,
200600080,ID20,
200500714,D-W,CLV
200500715,D-W,75
200500717,D-W,ITO
200500719,D-W 20,
200500772,D-WZTG,
200300569,D-W D-WXZC XZC,
197900013,GH,
199900835,NT,
200001190,CPX,
200300655,ZS,
200600081,ID,T
200600082,ID8,분할선
199100420,ID CFC,
197700088,HIMETIN,
200500713,D-W,L분할선T
200600170,D-W A,
200600172,D-W,G
200300572,D-W,TPM
200600173,D-WALK,
200600174,D-W Q10,
200400772,D-W D-WZMP ZMP,
200300660,PRS,4분할선0
200400920,T,마크
200604199,ID분할선5,
198900344,HIMETIN,300
199000363,ID CC,
197700137,NT,
196200046,YJP,분할선
198700581,CA분할선M2,분할선
200300286,IDP,
199700553,ID,75
200000559,ID 200,
200000560,ID V,분할선
200500776,D-W,A분할선M
200400910,P4,
200400913,MBX 7.5,YJP
200400914,YJP ACB,
200500872,VFX37,
200803828,CKD,RD5
200400930,CRZ,YJP
200400733,D-W D-W SFP SFP,
200308476,DW,분할선
200512148,D.W,D분할선T
199604623,Adalat60,
200307659,BAYER,C500 QD
200409940,BAYER,C1000 QD
197800021,GH,HF
200805428,VX분할선XΛ,DPC
200803800,Kb,
197800009,GHB,
200008989,ZBN,
200008990,ZBO,
200400336,ID ID,
200300283,ID20,분할선
200500435,IDP CV,
200300284,ID분할선ID,분할선
200500437,COQ10,
196900043,ID·Q,
200100392,ILDONG PHARM,LEMOCIN-F
200600084,IDP,C분할선5
200300551,D-W,S분할선20
199900723,D-W,
200400738,D-W SMD,
198300374,D-W D-WMCB MCB,
200100779,D-W,T분할선T
200100780,D-W D-WDNT DNT,
200400752,CΛTRB,분할선
200400753,D-W D-WFNO FNO,
200400757,D-W D-WDFR DFR,
198500436,D-W D-WMCB MCB,
197700126,D-WFCD,
198700516,D-W,HC5
200200631,D-W D-WPAC PAC,
200400763,D-W,S분할선10
200200642,D-W E,
200400766,D-W D-WPDR PDR,
200500721,D-W ZRZ,
199100413,IDP OBT,
199400362,ID·I,분할선
200603930,302AV,
199700548,ID 20,
200000548,ID,30
200200327,ID분할선BT,분할선
200300268,ID.100,
200300269,IDP ADS,
196400005,BCO,
200401321,SOCO,I분할선Y
200404889,DWB FL,
199906848,BAYER,M400
200108423,마크,5
200108424,마크,10
200108425,마크,20
200008591,마크,ASPIRIN0.5
200108428,마크,ADALAT
200108429,Bayer,
200108430,,
200702448,마크LP,
200702509,마크,200
200808211,마크 LRG,
199200144,HT,SR
198800060,셀비몬,
199000049,HT,Z분할선S
199400050,HT분할선PR,
200300409,D분할선W,분할선
199300120,HT분할선DA,
199300124,HT분할선250,
199300848,D-W분할선LXN,
200710140,FUP,
200000067,HTN,
199500050,HT분할선OT,
199600087,HT MCS,
199600089,마크,
199600090,HTATB,
199200163,HT,10
199400069,HT LST,
198500032,HTIB,
199200165,HTO,
199400070,HTA,
200808210,TI,
200308338,S분할선P,712
200308340,S분할선P,725
200100769,D-W D-WLPR LPR,
200300281,훼리탑F 일동제약,
200300282,LISEVA·F,
200400325,ARO-C,
200400326,ID,분할선
199700106,HTRXC,
200308341,SP분할선15,715
200410519,KU 119,분할선
200308343,SCHWARZPHARMA,IR분할선40
199700120,HT,CR
200400329,I,U
198700059,HT400,
199800046,HTATC,
198700060,HTRCT,분할선
200700890,JG120,
200702615,마크,Z
200500094,HT FLC,
198100149,D-W D-WCFR CFR,
200807361,M분할선O,V8
198900638,D-W,C분할선B
199700942,D-W D-WCFC CFC,
200308337,SP분할선7.5,707
200001471,NMD,
200200628,D-W RYL,
198100158,D-W,SLX
200100776,D-W D-WDNN DNN,
199100750,D-W,
199000710,D-W,G분할선B
